Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.51476
cardio,1831,21,9.6122,0.37133000000000005
glass,214,9,4.2056,0.17262
ionosphere,351,33,35.8974,0.8342
letter,1600,32,6.25,0.28669
lympho,148,18,4.0541,0.7516700000000001
mnist,7603,100,9.2069,0.34321999999999997
musk,3062,166,3.1679,0.15083
optdigits,5216,64,2.8758,0.0
pendigits,6870,16,2.2707,0.07613
pima,768,8,34.8958,0.49323000000000006
satellite,6435,36,31.6395,0.5045200000000001
satimage-2,5803,36,1.2235,0.41880000000000006
shuttle,49097,9,7.1511,0.68471
vertebral,240,6,12.5,0.04290000000000001
vowels,1456,12,3.4341,0.44397000000000003
wbc,378,30,5.5556,0.4348599999999999
