Data,#Samples,# Dimensions,Outlier Perc,ECF,IForest,MCD,OCSVM
arrhythmia,452,274,14.6018,0.18991,0.40628000000000003,2.50333,0.07846
cardio,1831,21,9.6122,0.4302499999999999,0.40099999999999997,2.0895799999999998,0.13330000000000003
glass,214,9,4.2056,0.03957000000000001,0.29,0.056429999999999994,0.00221
ionosphere,351,33,35.8974,0.12332000000000001,0.3234499999999999,0.76436,0.00989
letter,1600,32,6.25,0.42837,0.4609300000000001,17.154670000000003,0.14268999999999998
lympho,148,18,4.0541,0.07178,0.31537000000000004,0.15496000000000001,0.00272
mnist,7603,100,9.2069,3.7719700000000005,1.8835900000000003,19.02243,4.5135499999999995
musk,3062,166,3.1679,0.8819800000000001,1.1050400000000002,45.820530000000005,1.0571700000000002
optdigits,5216,64,2.8758,1.7078699999999998,0.9508999999999999,10.92878,1.4252600000000002
pendigits,6870,16,2.2707,2.73252,0.70364,8.107650000000001,1.0804899999999997
pima,768,8,34.8958,0.14268,0.34917,0.06928999999999999,0.01182
satellite,6435,36,31.6395,2.6110100000000003,0.8401400000000001,24.43891,1.47076
satimage-2,5803,36,1.2235,2.05722,0.7987,23.0239,1.14476
shuttle,49097,9,7.1511,146.13690000000003,2.6802900000000003,13.189969999999999,52.26868999999999
vertebral,240,6,12.5,0.030820000000000004,0.26629,0.052750000000000005,0.00201
vowels,1456,12,3.4341,0.31123,0.34634,1.7099900000000001,0.08644
wbc,378,30,5.5556,0.1089,0.288,0.38971999999999996,0.008960000000000001
