Data,#Samples,# Dimensions,Outlier Perc,ECF
arrhythmia,452,274,14.6018,0.46502
cardio,1831,21,9.6122,0.39048999999999995
glass,214,9,4.2056,0.17262
ionosphere,351,33,35.8974,0.8701000000000001
letter,1600,32,6.25,0.41492000000000007
lympho,148,18,4.0541,0.7516700000000001
mnist,7603,100,9.2069,0.36943
musk,3062,166,3.1679,0.1424
optdigits,5216,64,2.8758,0.0
pendigits,6870,16,2.2707,0.06972
pima,768,8,34.8958,0.49323000000000006
satellite,6435,36,31.6395,0.47081999999999996
satimage-2,5803,36,1.2235,0.39751000000000003
shuttle,49097,9,7.1511,0.68471
vertebral,240,6,12.5,0.04290000000000001
vowels,1456,12,3.4341,0.44397000000000003
wbc,378,30,5.5556,0.46729000000000004
